"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-01","4.70"," 2334","0.00",,"27","16","  260","  260","10.1","13.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-02","7.16"," 0020","0.00",,"34","20","  280","  290","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-03","10.51"," 1957","0.16",,"38","23","  270","  270","19.9","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-04","10.74"," 2219","0.00",,"37","19","  320","  320","21.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-05","6.71"," 0032","0.00",,"21","9","  320","  310","16.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-06","11.86"," 1628","0.00",,"25","5","  230","  230","23.9","31.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-07","10.29"," 0056","0.00",,"42","22","  230","  230","21.0","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-08","8.05"," 1658","0.00",,"45","31","  240","  230","17.0","21.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-09","5.82"," 1437","0.00",,"48","25","  220","  260","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-10","5.82"," 1718","0.00",,"49","30","  230","  280","12.1","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-11","6.71"," 1009","0.00",,"56","34","   10","   10","15.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-12","6.71"," 1315","0.00",,"44","29","  150","  150","14.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-13","5.59"," 1638","0.00",,"54","28","  190","  190","15.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-14","11.18"," 1927","0.00",,"51","39","  310","  320","21.9","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-15","8.50"," 0055","0.00",,"54","37","  330","  320","18.1","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-16","7.38"," 0138","0.00",,"62","44","  210","  220","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-17","14.09"," 0936","0.00",,"57","32","  360","  360","25.9","36.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-18","8.50"," 1123","0.00",,"49","28","  300","  320","21.0","30.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-19","6.49"," 1322","0.00",,"40","26","  110","  120","13.0","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-20","7.16"," 2108","0.00",,"53","32","  230","  230","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-21","10.51"," 1608","0.00",,"51","30","  310","  320","17.0","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-22","6.93"," 0158","0.00",,"35","22","   10","   10","15.0","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-23","7.61"," 1038","0.00",,"33","21","   90","   90","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-24","7.16"," 1314","0.00",,"39","19","   90","  100","13.0","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-25","12.08"," 1302","0.17",,"54","30","  250","  260","25.1","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-26","7.16"," 1745","0.03",,"46","36","  320","  320","15.0","21.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-27","11.41"," 1553","0.00",,"36","18","   10","   10","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-28","6.93"," 1223","0.00",,"39","18","   20","  360","15.0","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-29","15.21"," 2205","0.00",,"45","23","  230","  240","33.1","45.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-30","13.20"," 1234","0.00",,"59","37","  280","  290","29.1","42.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-03-31","8.50"," 0551","0.23",,"48","34","   60","  100","15.0","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-01","6.49"," 1849","0.00",,"55","36","  100","  150","14.1","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-02","11.41"," 1310","0.19",,"61","46","  210","  200","25.9","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-03","6.49"," 2313","0.07",,"60","36","   10","  360","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-04","10.07"," 1613","0.00",,,,"  280","  260","25.1","40.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-05","5.82"," 1930","0.00",,"56","34","   80","   90","15.0","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-06","5.14"," 2130","0.00",,"58","31","   70","   40","13.0","16.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-07","10.07"," 2002","0.08",,"51","38","   70","   80","18.1","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-08","7.83"," 0612","0.00",,"45","37","  110","  110","18.1","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-09","9.40"," 0559","0.68",,"67","37","  110","  110","23.0","32.0",,,,
